time,yaw,pitch,roll
2018-10-14 20:12:08.0600,-38.68,7.61,6.36
2018-10-14 20:12:08.1580,-38.42,7.37,5.94
2018-10-14 20:12:08.2500,-38.42,7.36,6.37
2018-10-14 20:12:08.3400,-37.62,7.29,7.87
2018-10-14 20:12:08.4300,-36.78,7.07,8.52
2018-10-14 20:12:08.5200,-36.83,6.78,8.3
2018-10-14 20:12:08.6100,-36.85,6.93,8.7
2018-10-14 20:12:08.7050,-36.68,6.96,8.47
2018-10-14 20:12:08.7950,-36.52,6.7,8.6
2018-10-14 20:12:08.8850,-36.53,6.66,8.43
2018-10-14 20:12:08.9750,-36.52,6.23,8.78
2018-10-14 20:12:09.0650,-36.88,6.12,8.58
2018-10-14 20:12:09.1550,-38.24,5.33,7.44
2018-10-14 20:12:09.2500,-38.01,5.42,7.22
2018-10-14 20:12:09.3400,-37.62,5.49,7.39
2018-10-14 20:12:09.4300,-37.53,5.56,7.85
2018-10-14 20:12:09.5200,-37.01,5.45,8.14
2018-10-14 20:12:09.6100,-36.31,5.74,7.83
2018-10-14 20:12:09.7000,-36.5,5.75,7.9
2018-10-14 20:12:09.7950,-36.03,6.07,8.0
2018-10-14 20:12:09.8850,-37.04,6.42,7.56
2018-10-14 20:12:09.9750,-38.23,6.15,7.9
2018-10-14 20:12:10.0650,-38.24,6.27,7.55
2018-10-14 20:12:10.1600,-38.82,6.22,8.02
2018-10-14 20:12:10.2550,-38.18,6.27,8.22
2018-10-14 20:12:10.3450,-35.52,6.22,7.86
2018-10-14 20:12:10.4350,-34.89,6.49,7.45
2018-10-14 20:12:10.5250,-32.5,6.8,7.32
2018-10-14 20:12:10.6150,-31.47,6.37,7.08
2018-10-14 20:12:10.7100,-31.78,6.68,5.7
2018-10-14 20:12:10.8000,-31.97,6.49,6.24
2018-10-14 20:12:10.8900,-32.03,6.39,6.27
2018-10-14 20:12:10.9800,-31.67,6.59,4.39
2018-10-14 20:12:11.0700,-31.23,6.91,4.97
2018-10-14 20:12:11.1650,-31.55,6.75,6.44
2018-10-14 20:12:11.2590,-31.58,6.89,8.04
2018-10-14 20:12:11.3460,-31.64,7.03,7.78
2018-10-14 20:12:11.4350,-31.66,7.02,7.76
2018-10-14 20:12:11.5250,-31.66,6.64,8.57
2018-10-14 20:12:11.6150,-31.34,5.97,8.7
2018-10-14 20:12:11.7110,-31.87,5.17,6.89
2018-10-14 20:12:11.8000,-31.88,4.06,5.03
2018-10-14 20:12:11.8910,-31.74,3.62,5.73
2018-10-14 20:12:11.9830,-31.78,3.0,6.43
2018-10-14 20:12:12.0700,-31.86,1.78,0.37
2018-10-14 20:12:12.1650,-31.7,0.22,-5.18
2018-10-14 20:12:12.2550,-31.38,-1.84,-15.0
2018-10-14 20:12:12.3450,-31.61,-4.5,-31.39
2018-10-14 20:12:12.4350,-31.26,-5.1,-30.93
2018-10-14 20:12:12.5250,-30.39,-6.5,-30.62
2018-10-14 20:12:12.6150,-29.85,-6.87,-29.72
2018-10-14 20:12:12.7110,-30.18,-5.35,-24.68
2018-10-14 20:12:12.8010,-31.79,0.04,-21.72
2018-10-14 20:12:12.8910,-34.13,9.64,-16.31
2018-10-14 20:12:12.9810,-34.98,20.27,-13.07
2018-10-14 20:12:13.0710,-34.59,28.24,-9.37
2018-10-14 20:12:13.1660,-33.79,32.29,-7.27
2018-10-14 20:12:13.2560,-31.65,33.19,-9.3
2018-10-14 20:12:13.3460,-27.22,31.8,-18.53
2018-10-14 20:12:13.4360,-21.46,32.89,-28.69
2018-10-14 20:12:13.5260,-17.66,35.07,-35.49
2018-10-14 20:12:13.6160,-14.34,37.32,-37.42
2018-10-14 20:12:13.7110,-12.14,38.24,-42.63
2018-10-14 20:12:13.8010,-11.32,38.61,-45.86
2018-10-14 20:12:13.8910,-12.07,40.84,-41.91
2018-10-14 20:12:13.9810,-14.01,42.76,-39.96
2018-10-14 20:12:14.0710,-19.92,44.71,-34.85
2018-10-14 20:12:14.1660,-27.12,46.56,-25.64
2018-10-14 20:12:14.2570,-32.05,47.84,-17.91
2018-10-14 20:12:14.3460,-34.86,49.58,-14.22
2018-10-14 20:12:14.4360,-37.15,51.46,-17.02
2018-10-14 20:12:14.5260,-38.44,53.7,-15.06
2018-10-14 20:12:14.6160,-41.95,55.1,-9.38
2018-10-14 20:12:14.7060,-44.13,54.71,-5.03
2018-10-14 20:12:14.8010,-45.02,53.75,0.07
2018-10-14 20:12:14.8920,-45.22,54.73,14.41
2018-10-14 20:12:14.9810,-47.24,56.13,35.23
2018-10-14 20:12:15.0710,-45.27,58.36,32.41
2018-10-14 20:12:15.1660,-40.98,60.26,26.47
2018-10-14 20:12:15.2610,-36.9,61.29,22.65
2018-10-14 20:12:15.3510,-34.9,61.35,24.1
2018-10-14 20:12:15.4410,-35.39,61.8,30.24
2018-10-14 20:12:15.5310,-37.11,62.36,24.39
2018-10-14 20:12:15.6210,-40.8,64.26,26.49
2018-10-14 20:12:15.7160,-46.1,66.16,28.27
2018-10-14 20:12:15.8060,-53.16,67.6,31.98
2018-10-14 20:12:15.8960,-59.86,67.87,37.09
2018-10-14 20:12:15.9860,-53.11,67.14,37.83
2018-10-14 20:12:16.0760,-51.92,65.1,36.49
2018-10-14 20:12:16.1710,-57.57,64.63,38.54
2018-10-14 20:12:16.2610,-56.56,62.33,37.43
2018-10-14 20:12:16.3510,-55.83,60.59,34.21
2018-10-14 20:12:16.4420,-57.59,59.64,37.16
2018-10-14 20:12:16.5310,-59.43,59.9,41.68
2018-10-14 20:12:16.6210,-62.78,61.15,44.08
2018-10-14 20:12:16.7110,-66.59,62.68,46.05
2018-10-14 20:12:16.8060,-69.09,64.34,49.21
2018-10-14 20:12:16.8960,-69.95,64.95,46.74
2018-10-14 20:12:16.9860,-70.5,64.49,43.07
2018-10-14 20:12:17.0760,-70.33,63.38,39.44
2018-10-14 20:12:17.1720,-69.57,61.6,35.83
2018-10-14 20:12:17.2660,-68.55,59.72,33.0
2018-10-14 20:12:17.3560,-67.16,58.07,29.69
2018-10-14 20:12:17.4460,-65.46,57.2,27.62
2018-10-14 20:12:17.5360,-63.32,58.38,27.0
2018-10-14 20:12:17.6260,-60.72,61.42,27.79
2018-10-14 20:12:17.7220,-57.55,65.27,27.28
2018-10-14 20:12:17.8110,-54.36,68.99,25.32
2018-10-14 20:12:17.9020,-52.0,73.4,23.32
2018-10-14 20:12:17.9920,-54.87,79.18,26.34
2018-10-14 20:12:18.0820,-82.27,85.06,53.78
2018-10-14 20:12:18.1720,-164.9,84.03,136.75
2018-10-14 20:12:18.2660,174.19,77.38,158.92
2018-10-14 20:12:18.3560,169.84,71.5,165.26
2018-10-14 20:12:18.4470,169.66,67.47,167.42
2018-10-14 20:12:18.5360,170.87,65.68,167.73
2018-10-14 20:12:18.6270,172.25,65.51,167.87
2018-10-14 20:12:18.7170,172.7,66.36,168.78
2018-10-14 20:12:18.8120,172.71,67.73,170.22
2018-10-14 20:12:18.9020,172.55,68.72,171.43
2018-10-14 20:12:18.9920,172.57,68.99,171.57
2018-10-14 20:12:19.0810,172.41,68.72,171.64
2018-10-14 20:12:19.1760,172.23,68.11,171.79
2018-10-14 20:12:19.2660,172.01,67.41,171.91
2018-10-14 20:12:19.3560,171.23,66.79,172.31
2018-10-14 20:12:19.4460,170.49,66.43,172.98
2018-10-14 20:12:19.5360,170.09,66.36,172.99
2018-10-14 20:12:19.6270,170.05,66.31,172.93
2018-10-14 20:12:19.7170,170.11,66.19,173.33
2018-10-14 20:12:19.8120,170.18,66.07,173.14
2018-10-14 20:12:19.9020,170.32,65.94,172.9
2018-10-14 20:12:19.9920,170.28,65.73,172.96
2018-10-14 20:12:20.0830,169.98,65.42,173.19
2018-10-14 20:12:20.1730,169.78,65.1,172.99
2018-10-14 20:12:20.2670,169.92,64.83,172.7
2018-10-14 20:12:20.3570,169.85,64.65,172.57
2018-10-14 20:12:20.4470,169.66,64.73,172.57
2018-10-14 20:12:20.5370,169.69,65.7,172.43
2018-10-14 20:12:20.6270,171.1,68.08,171.63
2018-10-14 20:12:20.7220,175.39,72.56,168.24
2018-10-14 20:12:20.8120,-174.95,77.98,160.2
2018-10-14 20:12:20.9020,-146.77,83.06,134.47
2018-10-14 20:12:20.9920,-81.98,83.56,72.39
2018-10-14 20:12:21.0820,-49.79,78.52,42.72
2018-10-14 20:12:21.1770,-40.5,71.61,35.63
2018-10-14 20:12:21.2670,-38.2,64.04,33.82
2018-10-14 20:12:21.3570,-38.09,55.54,29.23
2018-10-14 20:12:21.4470,-41.24,46.61,21.04
2018-10-14 20:12:21.5370,-48.08,39.3,9.6
2018-10-14 20:12:21.6270,-57.81,35.87,0.33
2018-10-14 20:12:21.7220,-69.76,38.31,-0.08
2018-10-14 20:12:21.8120,-82.07,45.7,8.21
2018-10-14 20:12:21.9020,-97.17,55.41,26.42
2018-10-14 20:12:21.9920,-119.56,64.22,56.2
2018-10-14 20:12:22.0820,-151.39,67.72,97.09
2018-10-14 20:12:22.1770,-178.92,64.02,132.53
2018-10-14 20:12:22.2670,168.53,58.82,152.94
2018-10-14 20:12:22.3570,162.81,56.09,164.46
2018-10-14 20:12:22.4470,161.35,56.96,169.04
2018-10-14 20:12:22.5370,162.97,61.35,171.15
2018-10-14 20:12:22.6270,167.92,68.54,168.67
2018-10-14 20:12:22.7220,-177.06,77.39,157.71
2018-10-14 20:12:22.8120,-120.65,83.24,103.22
2018-10-14 20:12:22.9020,-58.83,77.02,43.36
2018-10-14 20:12:22.9920,-43.14,66.46,29.59
2018-10-14 20:12:23.0820,-37.5,56.23,25.33
2018-10-14 20:12:23.1770,-36.1,46.24,22.99
2018-10-14 20:12:23.2670,-39.25,37.06,17.64
2018-10-14 20:12:23.3570,-47.56,29.24,9.2
2018-10-14 20:12:23.4470,-58.94,25.69,2.85
2018-10-14 20:12:23.5380,-72.03,28.3,2.8
2018-10-14 20:12:23.6330,-86.43,37.0,13.43
2018-10-14 20:12:23.7230,-101.43,47.16,31.99
2018-10-14 20:12:23.8120,-119.89,56.28,57.98
2018-10-14 20:12:23.9020,-143.82,61.75,90.98
2018-10-14 20:12:23.9930,-167.04,61.96,123.07
2018-10-14 20:12:24.0830,178.31,60.12,144.76
2018-10-14 20:12:24.1770,170.27,59.72,157.75
2018-10-14 20:12:24.2670,167.5,62.27,165.13
2018-10-14 20:12:24.3570,168.95,68.03,166.62
2018-10-14 20:12:24.4480,178.14,75.76,160.94
2018-10-14 20:12:24.5380,-145.11,83.0,126.65
2018-10-14 20:12:24.6330,-64.11,80.02,48.75
2018-10-14 20:12:24.7230,-42.93,69.62,28.32
2018-10-14 20:12:24.8130,-37.22,57.81,19.31
2018-10-14 20:12:24.9030,-37.1,46.17,11.99
2018-10-14 20:12:24.9930,-40.2,36.11,4.12
2018-10-14 20:12:25.0880,-46.54,28.55,-5.71
2018-10-14 20:12:25.1830,-55.48,24.99,-13.6
2018-10-14 20:12:25.2730,-65.32,26.64,-14.54
2018-10-14 20:12:25.3630,-75.67,33.68,-8.21
2018-10-14 20:12:25.4530,-87.49,44.66,6.49
2018-10-14 20:12:25.5480,-105.06,56.7,30.96
2018-10-14 20:12:25.6380,-131.08,64.49,67.0
2018-10-14 20:12:25.7280,-159.95,65.63,105.92
2018-10-14 20:12:25.8180,-177.6,63.31,132.28
2018-10-14 20:12:25.9080,174.83,61.79,146.54
2018-10-14 20:12:26.0030,173.11,62.99,153.78
2018-10-14 20:12:26.0930,175.05,67.61,155.91
2018-10-14 20:12:26.1830,-174.89,75.23,149.25
2018-10-14 20:12:26.2730,-129.54,82.3,105.41
2018-10-14 20:12:26.3630,-63.33,77.48,40.71
2018-10-14 20:12:26.4580,-44.88,66.56,23.46
2018-10-14 20:12:26.5480,-38.77,55.82,16.5
2018-10-14 20:12:26.6380,-37.03,44.8,12.26
2018-10-14 20:12:26.7280,-39.5,33.85,7.84
2018-10-14 20:12:26.8180,-45.33,24.75,1.15
2018-10-14 20:12:26.9130,-54.03,20.03,-6.17
2018-10-14 20:12:27.0030,-63.66,21.93,-8.7
2018-10-14 20:12:27.0930,-74.83,29.35,-4.39
2018-10-14 20:12:27.1880,-89.44,41.61,12.33
2018-10-14 20:12:27.2830,-110.03,54.55,41.68
2018-10-14 20:12:27.3730,-138.88,62.47,80.88
2018-10-14 20:12:27.4630,-168.43,62.63,119.72
2018-10-14 20:12:27.5530,175.0,59.68,143.63
2018-10-14 20:12:27.6430,168.71,58.82,155.35
2018-10-14 20:12:27.7380,168.38,62.4,160.35
2018-10-14 20:12:27.8280,173.54,69.98,158.53
2018-10-14 20:12:27.9180,-167.06,79.4,141.95
2018-10-14 20:12:28.0080,-84.69,82.56,61.7
2018-10-14 20:12:28.0980,-45.95,72.05,23.66
2018-10-14 20:12:28.1930,-38.15,58.51,16.33
2018-10-14 20:12:28.2830,-37.08,45.97,13.4
2018-10-14 20:12:28.3730,-39.35,34.53,10.3
2018-10-14 20:12:28.4630,-44.3,25.71,3.83
2018-10-14 20:12:28.5530,-52.08,21.21,-2.22
2018-10-14 20:12:28.6430,-62.44,22.1,-6.2
2018-10-14 20:12:28.7380,-75.23,27.87,-3.96
2018-10-14 20:12:28.8280,-88.57,36.55,7.29
2018-10-14 20:12:28.9180,-103.99,46.62,27.29
2018-10-14 20:12:29.0080,-123.55,55.47,55.47
2018-10-14 20:12:29.0980,-146.66,59.99,88.18
2018-10-14 20:12:29.1930,-167.68,60.11,118.78
2018-10-14 20:12:29.2830,179.6,58.88,139.64
2018-10-14 20:12:29.3740,172.96,59.09,153.23
2018-10-14 20:12:29.4640,170.66,62.95,160.68
2018-10-14 20:12:29.5540,173.81,71.24,158.44
2018-10-14 20:12:29.6480,-157.67,81.9,131.9
2018-10-14 20:12:29.7380,-63.53,79.63,39.3
2018-10-14 20:12:29.8280,-43.21,66.29,20.4
2018-10-14 20:12:29.9190,-38.93,52.52,15.97
2018-10-14 20:12:30.0090,-39.44,40.12,13.73
2018-10-14 20:12:30.1040,-43.27,29.36,8.97
2018-10-14 20:12:30.1990,-50.11,21.82,1.1
2018-10-14 20:12:30.2890,-59.02,18.73,-6.11
2018-10-14 20:12:30.3780,-69.6,20.35,-8.01
2018-10-14 20:12:30.4740,-81.38,27.44,-1.46
2018-10-14 20:12:30.5640,-93.44,38.06,12.81
2018-10-14 20:12:30.6540,-108.37,49.69,34.1
2018-10-14 20:12:30.7440,-129.01,58.62,63.47
2018-10-14 20:12:30.8340,-153.06,62.03,98.03
2018-10-14 20:12:30.9290,-172.95,61.51,130.15
2018-10-14 20:12:31.0190,175.86,60.73,149.26
2018-10-14 20:12:31.1090,170.41,60.89,155.7
2018-10-14 20:12:31.1990,168.27,61.97,159.26
2018-10-14 20:12:31.2890,165.8,64.51,162.12
2018-10-14 20:12:31.3840,162.5,67.36,166.46
2018-10-14 20:12:31.4740,159.82,69.53,170.16
2018-10-14 20:12:31.5640,158.38,71.59,166.0
2018-10-14 20:12:31.6540,159.15,74.08,161.77
2018-10-14 20:12:31.7440,159.17,77.54,159.05
2018-10-14 20:12:31.8390,159.61,81.36,161.39
2018-10-14 20:12:31.9290,153.9,84.26,167.82
2018-10-14 20:12:32.0190,152.14,86.0,170.92
2018-10-14 20:12:32.1090,155.07,87.25,164.31
2018-10-14 20:12:32.2040,148.15,89.12,166.82
2018-10-14 20:12:32.2940,-27.32,88.31,-19.43
2018-10-14 20:12:32.3840,-27.12,86.66,-22.64
2018-10-14 20:12:32.4740,-30.85,85.17,-17.99
2018-10-14 20:12:32.5640,-31.42,82.37,-17.28
2018-10-14 20:12:32.6540,-34.77,77.43,-15.8
2018-10-14 20:12:32.7490,-39.21,70.74,-17.98
2018-10-14 20:12:32.8390,-43.72,62.61,-16.63
2018-10-14 20:12:32.9290,-47.5,52.56,-18.7
2018-10-14 20:12:33.0190,-49.64,43.44,-19.38
2018-10-14 20:12:33.1090,-50.38,36.44,-20.02
2018-10-14 20:12:33.2040,-51.03,31.77,-18.41
2018-10-14 20:12:33.2940,-50.78,29.56,-16.75
2018-10-14 20:12:33.3840,-49.03,29.22,-14.07
2018-10-14 20:12:33.4740,-48.19,26.84,-11.03
2018-10-14 20:12:33.5640,-46.08,25.42,-11.66
2018-10-14 20:12:33.6590,-43.8,24.68,-10.96
2018-10-14 20:12:33.7490,-43.24,23.57,-9.75
2018-10-14 20:12:33.8390,-43.84,21.38,-7.93
2018-10-14 20:12:33.9290,-44.72,19.05,-6.17
2018-10-14 20:12:34.0210,-44.4,18.38,-8.92
2018-10-14 20:12:34.1140,-43.88,18.52,-9.75
2018-10-14 20:12:34.2090,-43.21,18.98,-8.64
2018-10-14 20:12:34.2990,-42.82,19.03,-9.21
2018-10-14 20:12:34.3890,-43.04,19.3,-10.69
2018-10-14 20:12:34.4840,-39.28,19.58,-13.13
2018-10-14 20:12:34.5750,-36.47,21.05,-18.54
2018-10-14 20:12:34.6640,-36.01,20.9,-17.62
2018-10-14 20:12:34.7540,-35.59,20.57,-18.9
2018-10-14 20:12:34.8440,-35.32,19.12,-22.16
2018-10-14 20:12:34.9390,-32.37,16.82,-22.11
2018-10-14 20:12:35.0290,-31.89,16.75,-21.6
2018-10-14 20:12:35.1200,-35.92,14.3,-23.61
2018-10-14 20:12:35.2090,-37.3,12.99,-21.75
2018-10-14 20:12:35.2990,-33.81,9.89,-23.11
2018-10-14 20:12:35.3950,-30.68,9.55,-18.05
2018-10-14 20:12:35.4840,-32.53,9.19,-16.66
2018-10-14 20:12:35.5750,-33.53,9.17,-14.76
2018-10-14 20:12:35.6640,-34.72,10.2,-14.54
